14;50;83;67;87;68;63
74;45;77;46;44;87;24
97;76;52;53;77;65;61
74;96;62;87;62;46;52
100;60;62;81;45;45;63
15;27;61;59;40;48;10
60;24;41;60;36;94;30
36;58;54;23;28;22;82
65;56;85;28;76;35;76
33;93;95;18;81;33;57
61;100;31;54;45;84;63
42;57;17;61;57;29;95
88;86;62;95;37;49;17
100;27;73;59;18;55;47
93;93;31;63;99;21;31
73;87;21;48;54;56;80
18;19;55;82;73;56;33
53;22;89;10;76;54;65
36;71;63;100;21;53;45
71;14;64;38;28;61;84
61;45;24;55;62;41;39
86;44;64;85;70;36;92
16;96;17;35;74;55;58
53;84;65;18;35;13;32
87;11;71;90;37;16;89
57;64;66;74;94;83;78
72;11;40;54;13;47;38
77;89;35;43;79;100;57
68;91;64;42;61;52;56
32;46;34;14;90;88;29
38;62;88;75;43;94;44
39;49;27;64;94;71;73
98;72;99;71;38;88;34
13;40;33;48;86;28;87
96;88;74;13;91;11;20
84;39;62;52;79;97;44
55;16;75;48;68;21;33
10;12;30;82;53;88;72
67;72;82;99;79;35;10
33;21;84;10;12;72;88
94;96;68;79;58;79;68
69;82;25;52;97;62;73
80;23;86;86;38;43;28
81;29;96;40;99;78;63
43;49;37;64;62;60;21
52;50;17;15;79;80;36
88;78;38;39;87;19;56
12;31;69;70;15;87;65
90;38;21;80;89;66;29
75;61;63;55;39;89;48
87;86;89;77;39;17;37
59;12;97;59;48;17;90
82;59;11;99;47;57;38
38;42;91;28;26;63;63
57;32;58;12;47;29;65
52;53;40;19;13;69;89
73;56;38;22;47;14;34
36;35;99;66;67;55;68
45;57;100;62;14;56;99
88;20;50;24;87;86;83
80;74;87;34;18;59;48
29;32;95;67;11;13;55
45;83;41;25;75;93;91
47;42;73;68;31;37;43
92;19;29;54;54;17;64
93;52;37;75;56;66;84
46;67;91;24;35;68;89
35;58;73;27;19;57;27
13;15;11;88;44;38;59
48;25;54;43;87;51;37
36;52;11;59;86;99;16
82;91;26;88;97;98;66
23;57;90;60;36;29;77
47;98;19;22;34;37;37
43;48;47;43;61;95;98
21;54;43;53;95;75;30
39;10;62;57;83;94;64
85;28;76;42;78;88;54
48;33;48;65;72;51;26
73;87;34;51;79;44;51
35;69;67;14;17;87;17
67;33;35;38;96;19;11
26;15;68;47;84;15;59
91;88;94;33;25;43;100
37;58;100;20;12;93;97
40;34;36;80;25;50;54
46;85;39;91;22;11;34
50;51;79;94;81;90;64
46;34;71;85;38;48;74
13;47;14;73;93;21;83
84;31;71;95;46;79;99
90;63;40;62;42;58;11
