14;50;83;67;87;68;63;87
74;45;77;46;44;87;24;44
97;76;52;53;77;65;61;77
74;96;62;87;62;46;52;62
100;60;62;81;45;45;63;45
15;27;61;59;40;48;10;40
60;24;41;60;36;94;30;36
36;58;54;23;28;22;82;28
65;56;85;28;76;35;76;76
33;93;95;18;81;33;57;81
61;100;31;54;45;84;63;45
42;57;17;61;57;29;95;57
88;86;62;95;37;49;17;37
100;27;73;59;18;55;47;18
93;93;31;63;99;21;31;99
73;87;21;48;54;56;80;54
18;19;55;82;73;56;33;73
53;22;89;10;76;54;65;76
36;71;63;100;21;53;45;21
71;14;64;38;28;61;84;28
61;45;24;55;62;41;39;62
86;44;64;85;70;36;92;70
16;96;17;35;74;55;58;74
53;84;65;18;35;13;32;35
87;11;71;90;37;16;89;37
57;64;66;74;94;83;78;94
72;11;40;54;13;47;38;13
77;89;35;43;79;100;57;79
68;91;64;42;61;52;56;61
32;46;34;14;90;88;29;90
38;62;88;75;43;94;44;43
39;49;27;64;94;71;73;94
98;72;99;71;38;88;34;38
13;40;33;48;86;28;87;86
96;88;74;13;91;11;20;91
84;39;62;52;79;97;44;79
55;16;75;48;68;21;33;68
10;12;30;82;53;88;72;53
67;72;82;99;79;35;10;79
33;21;84;10;12;72;88;12
94;96;68;79;58;79;68;58
69;82;25;52;97;62;73;97
80;23;86;86;38;43;28;38
81;29;96;40;99;78;63;99
43;49;37;64;62;60;21;62
52;50;17;15;79;80;36;79
88;78;38;39;87;19;56;87
12;31;69;70;15;87;65;15
90;38;21;80;89;66;29;89
75;61;63;55;39;89;48;39
87;86;89;77;39;17;37;39
59;12;97;59;48;17;90;48
82;59;11;99;47;57;38;47
38;42;91;28;26;63;63;26
57;32;58;12;47;29;65;47
52;53;40;19;13;69;89;13
73;56;38;22;47;14;34;47
36;35;99;66;67;55;68;67
45;57;100;62;14;56;99;14
88;20;50;24;87;86;83;87
80;74;87;34;18;59;48;18
29;32;95;67;11;13;55;11
45;83;41;25;75;93;91;75
47;42;73;68;31;37;43;31
92;19;29;54;54;17;64;54
93;52;37;75;56;66;84;56
46;67;91;24;35;68;89;35
35;58;73;27;19;57;27;19
13;15;11;88;44;38;59;44
48;25;54;43;87;51;37;87
36;52;11;59;86;99;16;86
82;91;26;88;97;98;66;97
23;57;90;60;36;29;77;36
47;98;19;22;34;37;37;34
43;48;47;43;61;95;98;61
21;54;43;53;95;75;30;95
39;10;62;57;83;94;64;83
85;28;76;42;78;88;54;78
48;33;48;65;72;51;26;72
73;87;34;51;79;44;51;79
35;69;67;14;17;87;17;17
67;33;35;38;96;19;11;96
26;15;68;47;84;15;59;84
91;88;94;33;25;43;100;25
37;58;100;20;12;93;97;12
40;34;36;80;25;50;54;25
46;85;39;91;22;11;34;22
50;51;79;94;81;90;64;81
46;34;71;85;38;48;74;38
13;47;14;73;93;21;83;93
84;31;71;95;46;79;99;46
90;63;40;62;42;58;11;42
20;57;83;48;26;77;43;26
76;47;54;41;56;20;33;56
57;30;15;63;66;83;51;66
29;30;58;62;28;18;15;28
56;52;82;78;86;86;80;86
87;85;99;14;77;33;29;77
10;83;55;98;55;49;31;55
36;13;74;53;64;35;88;64
16;83;43;23;66;35;28;66
22;88;27;79;90;90;20;90
100;88;41;89;99;91;81;99
92;79;100;80;60;29;60;60
98;24;59;56;57;81;80;57
34;100;92;82;70;91;52;70
59;68;80;58;24;63;13;24
66;51;34;54;30;71;61;30
20;59;93;77;68;52;70;68
48;40;22;74;81;96;91;81
10;46;60;19;59;56;11;59
69;66;98;42;38;61;100;38
22;15;61;87;93;88;68;93
32;15;67;92;14;94;57;14
74;64;35;87;22;46;47;22
36;83;69;39;99;61;69;99
12;90;95;71;64;24;69;64
65;11;10;11;100;45;69;100
51;45;35;16;33;56;48;33
79;38;27;89;95;40;37;95
85;77;33;77;92;65;90;92
86;54;91;15;70;24;86;70
64;38;16;40;68;92;71;68
80;100;44;61;17;14;54;17
85;92;51;52;32;100;77;32
75;44;97;56;97;72;39;97
47;73;81;65;67;78;49;67
15;19;19;25;54;84;53;54
90;55;39;26;47;41;21;47
78;96;92;92;22;95;19;22
95;79;85;90;84;86;53;84
85;78;35;98;68;75;84;68
77;84;21;30;20;99;33;20
45;74;11;75;49;13;21;49
37;86;37;50;64;48;17;64
62;21;26;22;49;26;90;49
17;48;32;42;32;55;75;32
97;35;39;51;62;12;20;62
55;75;60;62;72;63;45;72
47;70;98;98;18;47;43;18
19;66;46;75;61;82;53;61
86;43;45;76;66;88;56;66
79;91;83;33;78;93;100;78
51;17;52;58;82;19;16;82
87;73;78;77;42;81;67;42
12;44;62;55;38;63;98;38
98;88;83;58;49;60;98;49
13;29;15;13;71;50;60;71
22;87;73;12;91;31;35;91
60;14;40;75;51;67;29;51
87;16;22;11;94;67;75;94
55;13;48;100;39;76;24;39
20;44;92;86;38;46;31;38
48;52;12;25;49;53;78;49
84;93;43;62;96;12;91;96
79;35;62;17;29;43;72;29
58;26;61;43;28;42;68;28
33;50;67;42;91;70;62;91
21;86;77;17;78;99;59;78
15;54;14;53;56;71;34;56
43;18;51;19;70;81;95;70
43;49;68;77;20;85;25;20
62;67;25;66;25;82;99;25
61;42;80;100;44;25;31;44
47;47;69;64;48;19;42;48
72;93;29;16;29;92;46;29
33;77;82;16;75;99;86;75
100;43;18;52;28;76;67;28
26;13;54;35;53;29;81;53
90;67;41;33;11;11;61;11
15;35;24;75;41;13;67;41
69;75;73;78;78;81;47;78
84;25;86;43;68;90;84;68
10;12;74;53;23;48;51;23
74;42;52;78;28;73;76;28
78;37;86;35;79;27;81;79
95;87;43;45;41;17;35;41
52;68;74;82;22;63;98;22
95;40;91;54;46;35;83;46
97;18;10;64;83;83;61;83
48;45;12;24;70;20;73;70
12;47;54;24;60;39;56;60
98;98;85;83;95;75;75;95
89;76;29;34;82;82;73;82
64;19;16;70;88;26;37;88
18;53;94;84;81;74;21;81
46;58;11;14;34;66;15;34
69;43;58;47;74;34;39;74
24;14;50;90;50;72;16;50
85;75;13;73;27;17;80;27
87;89;78;29;22;32;36;22
68;43;19;96;76;62;66;76
88;44;37;92;55;67;41;55
67;42;97;21;33;96;64;33
53;98;54;90;78;66;49;78
15;88;25;51;48;99;24;48
66;82;58;10;86;40;51;86
73;31;91;47;70;73;79;70
60;44;20;91;82;80;81;82
75;40;88;64;86;60;24;86
15;40;20;43;76;48;57;76
32;71;84;72;94;60;84;94
57;97;25;49;22;49;28;22
63;57;14;46;99;96;66;99
64;38;42;94;94;50;31;94
86;86;11;13;86;46;38;86
71;29;51;15;38;25;61;38
77;79;10;64;87;23;74;87
24;11;36;43;75;30;72;75
29;59;12;17;39;42;69;39
78;61;25;83;50;39;38;50
57;50;29;40;18;43;95;18
34;54;66;58;34;82;47;34
66;32;33;97;69;46;64;69
15;40;72;11;27;67;78;27
11;52;38;15;83;83;78;83
32;23;23;34;40;65;67;40
28;10;87;90;17;18;50;17
41;94;17;59;51;88;72;51
82;45;36;67;48;75;69;48
64;61;44;13;41;29;40;41
17;64;26;36;45;14;20;45
53;88;52;94;52;24;67;52
30;88;41;80;65;94;70;65
31;94;60;30;74;83;75;74
20;78;73;19;57;88;70;57
70;12;17;67;32;85;43;32
55;88;17;74;42;95;58;42
87;97;26;54;98;39;51;98
55;81;25;16;12;78;25;12
13;94;23;96;42;89;55;42
23;37;78;67;100;84;12;100
62;35;82;87;96;36;97;96
10;97;14;24;72;100;27;72
33;84;79;17;97;43;48;97
95;27;51;91;100;23;17;100
49;67;80;24;99;13;46;99
43;39;96;85;16;97;49;16
22;13;20;10;93;99;28;93
33;14;59;42;70;40;77;70
46;93;27;63;82;46;60;82
57;60;64;78;25;86;41;25
64;79;72;15;29;17;56;29
32;36;32;12;56;17;76;56
43;56;24;53;54;19;97;54
86;59;21;64;44;64;100;44
96;28;87;69;42;30;86;42
42;24;20;17;26;42;94;26
61;38;71;41;17;75;97;17
27;31;45;48;32;57;42;32
45;32;39;81;64;79;62;64
58;39;75;51;97;13;91;97
70;62;73;38;33;92;44;33
40;16;86;73;89;79;81;89
89;85;13;100;82;91;39;82
34;19;22;65;21;49;40;21
78;82;40;68;79;70;70;79
75;21;84;53;29;80;68;29
24;85;30;64;58;45;24;58
64;40;70;46;66;35;20;66
22;75;76;94;64;97;27;64
55;63;90;13;40;20;96;40
15;44;45;81;67;64;35;67
17;56;86;12;31;15;47;31
46;24;10;63;59;68;13;59
42;33;47;54;95;44;89;95
27;78;42;74;73;65;77;73
30;11;99;74;81;91;86;81
11;67;81;69;93;63;40;93
20;38;53;44;25;19;41;25
50;95;30;45;33;83;20;33
15;63;73;38;60;20;79;60
22;63;85;84;96;44;43;96
89;31;91;84;89;76;11;89
54;15;43;39;70;89;55;70
99;84;30;89;41;48;98;41
61;74;40;21;85;73;13;85
16;23;60;67;16;53;63;16
38;64;86;19;61;26;94;61
87;37;36;97;60;99;29;60
21;53;63;23;21;38;97;21
73;30;90;90;94;68;93;94
72;17;52;21;37;46;35;37
11;38;47;55;54;84;65;54
24;29;11;62;67;71;95;67
16;56;100;49;17;40;66;17
51;90;43;57;44;68;50;44
89;65;25;48;60;64;11;60
48;29;55;42;92;14;56;92
17;16;19;27;30;41;60;30
100;68;97;45;80;26;88;80
79;65;64;25;66;77;23;66
58;47;12;60;63;66;76;63
54;77;34;96;79;91;80;79
65;25;21;66;56;74;34;56
49;80;93;46;99;45;55;99
82;95;20;36;27;66;51;27
57;42;38;73;74;54;52;74
34;46;99;25;42;27;25;42
79;77;79;96;49;56;46;49
15;15;67;99;75;99;17;75
99;12;39;96;53;50;35;53
20;72;55;70;88;66;53;88
43;76;52;10;26;11;66;26
22;52;13;94;75;25;97;75
56;92;20;94;54;37;43;54
98;78;56;51;71;31;93;71
13;58;84;93;29;46;18;29
21;88;90;11;49;74;48;49
89;47;31;31;15;19;68;15
68;36;17;18;66;28;92;66
80;85;75;72;54;29;62;54
21;92;44;51;72;92;10;72
65;45;89;50;53;76;61;53
11;22;42;33;46;100;80;46
56;67;24;86;81;44;83;81
79;86;82;40;16;33;92;16
61;98;47;73;31;84;71;31
72;67;62;58;59;70;83;59
26;44;42;21;94;32;26;94
79;99;83;17;81;57;63;81
94;78;73;72;35;29;82;35
75;10;100;50;45;73;27;45
60;47;33;20;56;44;94;56
43;68;26;27;94;92;48;94
41;54;24;26;28;70;47;28
99;97;73;93;25;71;30;25
48;99;13;59;77;58;90;77
17;10;38;18;70;66;98;70
83;37;29;35;43;35;24;43
43;70;78;21;94;96;92;94
60;11;37;44;55;76;53;55
72;96;96;41;31;37;95;31
10;57;40;23;25;10;44;25
45;46;43;20;53;84;77;53
67;60;45;16;29;10;26;29
49;86;37;41;90;86;69;90
45;17;51;45;96;92;96;96
29;28;55;90;48;50;50;48
51;22;12;27;94;64;98;94
90;14;74;92;40;68;26;40
70;73;52;94;60;65;65;60
24;91;80;36;90;59;90;90
16;39;17;33;93;54;82;93
43;24;24;43;11;42;96;11
45;77;98;54;33;73;68;33
52;32;22;47;44;66;27;44
34;85;21;26;58;22;43;58
41;90;85;87;19;77;14;19
90;86;82;77;38;49;60;38
65;91;85;90;28;56;39;28
65;41;44;45;33;67;64;33
82;65;97;42;70;87;34;70
11;87;11;70;77;29;42;77
99;36;63;42;52;26;91;52
48;20;30;78;55;84;99;55
19;36;86;75;82;64;91;82
84;92;96;66;18;53;32;18
48;43;40;58;43;53;36;43
79;91;75;83;95;66;88;95
28;75;77;19;49;37;12;49
73;48;10;65;77;80;13;77
33;71;14;85;34;73;94;34
46;35;94;14;14;33;19;14
40;89;74;67;63;39;100;63
41;86;81;55;53;26;30;53
77;63;80;23;89;58;33;89
98;74;81;90;50;20;42;50
95;31;45;80;50;97;69;50
23;72;30;90;27;84;49;27
94;65;96;95;59;79;48;59
74;88;21;43;53;48;61;53
54;21;62;38;90;80;84;90
37;21;56;16;32;23;35;32
31;49;45;81;11;47;97;11
35;76;96;22;10;88;26;10
